u,v,pois_count
31268953,31268964,1
31268964,26949158,1
31268964,26949165,1
31268964,31268953,1
31269381,31269383,1
31269381,8420088759,1
31269381,8420088760,1
31269383,31269381,1
31269383,7919764211,1
31269383,8464489376,1
31269399,31269413,1
31269399,31269425,1
31269399,8483807830,1
31269413,31269399,1
31269413,31269414,1
31269413,31269423,1
31269413,5712456783,1
31269414,31269413,1
31269414,31269420,1
31269414,5712456811,1
31269420,25506066,1
31269420,31269414,1
31269420,31269435,1
31269420,615176276,1
31269423,31269413,1
31269425,31269399,1
31269425,1803896874,1
31269435,31269420,1
31269435,31269441,1
31269435,5712456765,1
31269441,25506102,1
31269441,31269435,1
31269441,283874705,1
31269441,5712456759,1
31468291,318310411,1
31828135,7434992308,1
31829182,9493822294,1
31875648,3629166665,1
31875648,4199695656,1
31875648,4199695678,1
31875650,4199695635,2
31875650,4199695650,2
31875650,10013237546,3
31875682,21556600,2
31875682,4199695623,2
31875682,4199695633,2
31875682,4199695635,2
31875691,24670131,2
31875691,24670659,2
31875691,31875697,2
31875691,267787159,2
31875697,31875691,2
31875697,31875704,2
31875697,10016015835,2
31875704,31875697,2
31875704,10016015835,2
31875704,10018782279,2
31893690,10677635664,1
31893691,1803788897,1
31893691,9817479737,1
31893691,9817494546,1
31893712,1415735758,2
31893712,6270574441,2
31893712,10901678777,2
31893717,727429930,2
31893717,1281169880,2
31893717,1286828193,2
31893721,1334346164,2
31893721,4945829012,2
31893721,6898133049,2
31893726,293474855,2
31893726,298348556,2
31893726,10206788124,2
31893733,298348556,2
31893733,1287683030,2
31893733,7424040107,2
31893733,7424040112,2
31893738,423223902,2
31893738,7424040105,2
31893738,7424040107,2
31893738,10013471134,2
33034455,297508494,1
33034483,1660681728,1
33034490,297270618,1
33034490,1329912197,1
33034490,1414177786,1
33034490,6359877788,1
33034493,33034494,1
33034493,297509492,1
33034494,33034493,1
33034494,297509477,1
33034494,1660681705,1
80228600,278140549,1
80229028,8429284111,1
80232127,278140549,1
80232127,1591455823,1
80232127,1628191731,1
80232127,8429284089,1
80232128,423003329,1
80232128,423193412,1
80232128,3393436746,1
80232129,278140661,1
80232129,423003329,1
80232129,1591455823,1
86727401,86727402,1
86727402,86727401,1
92920484,297925134,1
93028831,266331042,1
93028837,292423591,1
93028843,266329167,1
95853176,125404,1
102941894,1235730182,1
104234726,4329575146,1
104234737,267023609,1
104234737,849954541,1
111478357,266633796,2
111478357,271446257,2
111478357,2584912540,1
137542629,9094826518,1
191691319,3532694229,1
191691319,8105018421,1
191691324,247737237,1
191691324,3532694229,1
191691324,9782205928,1
191691421,30441962,1
199319147,478634655,2
199319147,3098681020,1
199319147,3835253471,1
218745946,1170269462,1
218745976,423184210,3
247704716,247704716,1
247704716,2255813420,1
247705591,2805174778,1
247705592,2391146083,1
247737237,191691324,1
247764913,1281454762,1
248119044,1620315926,1
257789994,6525157221,1
257790016,5779085196,2
257790024,540354341,3
257790024,5923212553,1
257790024,6943455277,1
257790024,9725124545,1
257790049,8089417,2
257798837,1213007744,1
257798855,257798856,1
257798855,257798905,1
257798855,1621778085,1
257798856,257798855,1
257798856,1241481408,1
257798856,8736946951,1
257798858,573418873,1
257798858,1027159657,2
257798858,8736946951,1
257798865,8099322,1
257798865,257798866,1
257798865,1241481420,1
257798866,257798865,1
257798866,257798867,1
257798866,257798885,1
257798867,257798866,1
257798867,257798869,1
257798867,257798875,1
257798869,257798867,1
257798875,257798867,1
257798875,1212548116,1
257798875,1241481396,1
257798885,257798866,1
257798885,1241481396,1
257798885,1241481420,1
257798905,257798855,1
257798905,1241481420,1
257798905,1639391526,1
257802830,460039755,1
257802831,25109916,1
257802831,1018137931,1
257802831,1027313252,1
257802832,257802843,1
257802832,1027118636,1
257802832,5913657610,1
257802835,257802842,1
257802835,1027118632,1
257802835,5913657610,1
257802836,257802837,1
257802836,1027118632,1
257802836,1027118675,1
257802837,257802836,1
257802837,257802840,1
257802837,1027313292,1
257802840,257802837,1
257802840,257802931,1
257802840,1027313247,1
257802842,257802835,1
257802842,257802843,1
257802842,257802932,1
257802842,1027313247,1
257802843,257802832,1
257802843,257802842,1
257802843,257802844,1
257802843,1027313268,1
257802844,257802843,1
257802844,257802845,1
257802844,4744710563,1
257802845,257802844,1
257802845,257802846,1
257802845,1027159682,1
257802845,4387560684,1
257802846,257802845,1
257802846,257802848,1
257802846,1027313268,1
257802846,1529857278,1
257802846,1529857341,2
257802848,257802846,1
257802848,257802931,1
257802848,257802932,1
257802848,1529857323,1
257802856,1212547950,1
257802857,1212547950,1
257802857,1529857323,1
257802857,6167117653,1
257802858,6167117653,1
257802859,1027313252,1
257802859,1027333639,1
257802859,1027355871,1
257802860,1027019505,1
257802860,1027313271,1
257802860,1027355871,1
257802873,1027118639,1
257802873,1027118675,1
257802873,1027355871,1
257802875,257802876,1
257802875,257802890,1
257802875,1027118639,1
257802876,257802875,1
257802876,257802891,1
257802876,4370654556,1
257802885,3160222647,1
257802890,257802875,1
257802890,1027313274,1
257802890,1027313292,1
257802891,257802876,1
257802891,1027313274,1
257802891,2787761080,1
257802902,257802907,1
257802902,1174822955,1
257802902,1223734385,1
257802907,257802902,1
257802907,2441395226,2
257802907,3452020165,1
257802926,1223734385,2
257802926,3452020159,1
257802931,257802840,1
257802931,257802848,1
257802931,1027313250,1
257802932,257802842,1
257802932,257802848,1
257802932,1027313250,1
257802932,1027313268,1
257936885,7439616970,1
257936885,10285852713,1
257936891,259181069,1
257936891,7369536503,1
257938113,3761431617,1
258072556,1579301791,1
258072557,477438210,2
258072557,1579301791,1
258072557,1579307594,1
258072557,3294550557,1
258072557,3294550677,1
258072557,10271361768,1
258072559,297902614,1
258072559,477438169,1
258072559,477438170,1
258072559,477438172,1
259181069,257936891,1
259181069,1579307597,1
259181069,3294550529,1
265733236,392079153,1
265733240,8429284089,1
265733241,8429284111,1
265733242,8429284095,1
265733243,8429284071,1
266324909,266415689,1
266324909,282480094,1
266324909,1652888756,1
266329166,266329167,1
266329166,266331081,1
266329166,6013173713,1
266329166,8208809716,1
266329167,93028843,1
266329167,266329166,1
266329167,266331038,1
266329167,7151874695,1
266331038,266329167,1
266331038,292423591,1
