u,v,landuse_count
7224390,20847845,1
7224390,4673538601,1
7224421,8086006,1
7224421,4712175285,1
7224421,5450247684,1
7224422,4712175304,1
7224422,10918472137,1
7235688,267024527,1
7235689,5996601374,1
7235698,25274001,1
7235698,10013166377,1
7235700,7235703,1
7235700,1437799333,1
7235703,7235700,1
7235703,1636974789,1
7235703,1637605766,1
7235706,7235708,1
7235706,1637600152,1
7235706,1637605789,1
7235707,1637600152,1
7235707,1637600158,1
7235708,7235706,1
7235713,8468145,1
7235725,8418796239,1
7244204,20927537,1
7244204,3378861476,1
7244204,3761438747,1
7244204,6331424643,1
7244205,1217537075,1
7244205,1678035933,1
7244205,6331424643,1
7244206,20850966,1
7244206,2327433451,1
7244206,2328511277,1
7262116,8097292,1
7262116,5297638245,1
7262116,5297638251,1
7262117,7262118,1
7262117,5297638251,1
7262118,6504038,1
7262118,7262117,1
7262118,7262119,1
7262118,532495646,1
7302089,10596098430,1
7302093,2178030021,1
7313646,8229908,1
7313646,21763343,1
7313647,7313649,1
7313648,7313653,1
7313649,7313647,1
7313649,7313651,1
7313649,7766759,1
7313649,1579301781,1
7313651,7313653,1
7313651,7766755,1
7313651,721492298,2
7313653,7313648,1
7313653,7313651,1
7313653,14781933,1
7313655,7766797,1
7313655,14781946,1
7313655,10313016667,1
7349378,8084566,1
7349378,8120884,1
7397295,4638070639,1
7397295,4638070644,1
7397299,445515887,1
7397299,4638070635,1
7397303,445522199,1
7397303,1626975677,1
7397303,4725687897,1
7397303,5298316572,1
7397306,6527605,1
7397306,7224389,1
7397306,7397295,1
7459408,8872343,1
7459409,7459411,1
7459409,8084681,1
7459409,8872343,1
7459411,7459409,1
7459411,8084798,1
7459411,8084801,1
7459411,456281927,1
7459412,456281927,1
7459414,8096896,1
7459414,4696404750,1
7459414,4696404775,1
7469744,4741417821,1
7469747,291424005,1
7469748,8084678,1
7469748,1620320095,1
7469748,6402556885,1
7469749,16495095,1
7469749,26673084,1
7469749,104334093,1
7470151,4230086163,1
7476484,9597946531,1
7476485,8082305,1
7481095,26211708,1
7481097,5494678856,1
7481098,3636998423,1
7481117,1585604224,1
7481118,1578282374,2
7487077,7846717,1
7487077,2226036741,1
7487077,9865771101,1
7487078,3106249630,1
7487087,286403017,1
7487088,8570098561,1
7487092,296199232,1
7487092,4732883899,1
7487092,7045977912,1
7487095,8089141,1
7487095,8089156,1
7487095,308212264,1
7487096,8082318,1
7487096,8089263,1
7487096,6450493996,1
7487097,296199152,1
7487097,308212264,1
7487097,10876850173,1
7493308,7493317,1
7493308,7372303148,1
7493314,3661137018,1
7493317,7493308,1
7493317,1337359005,1
7493317,9691999948,1
7493352,4553099162,1
7493353,8089128,1
7493355,10675847885,1
7493355,10675847888,1
7493355,10676015871,1
7493361,7493363,1
7493361,8217857,1
7493361,10107954182,1
7493363,7493361,1
7493363,7625723,1
7493363,7412645901,1
7493364,12725353,1
7493364,1455149867,1
7493364,5024852675,1
7493364,5024852691,1
7493365,7493400,1
7493365,7625720,1
7493365,5024852695,1
7493377,1629693021,1
7493377,9952724260,1
7493379,7493382,1
7493379,7493396,1
7493379,1629693021,1
7493380,7493382,1
7493380,7493393,1
7493380,1586930523,1
7493382,7493379,1
7493382,7493380,1
7493382,296206823,1
7493384,7636537,1
7493384,8436186961,1
7493393,7493380,1
7493393,5015352678,1
7493396,7493379,1
7493396,7625717,1
7493396,7636536,1
7493396,5024738267,1
7493400,7493365,1
7493400,7625739,1
