u,v,roads_p_count
792937,310380957,6
792937,3999937905,5
792937,4090838024,5
792938,310380957,5
792938,1298717233,4
792938,4927547757,4
793274,18090396,3
793274,1662139692,2
793274,9659397444,3
793277,8140222,3
793277,20930086,5
793277,4550051762,3
793277,8109952242,3
793278,2318157458,8
793278,8369440605,5
793280,24996948,3
793280,1780413149,3
793280,3296232064,3
793284,1277430347,5
793284,4927568097,5
793285,1277430254,6
793285,8986495566,5
793285,9151044917,5
793289,457753210,3
793289,1607361311,3
793289,3288523973,4
793290,793291,6
793290,4550051764,6
793290,8229143759,6
793290,8369440604,6
793291,793290,6
793291,3305197661,3
793291,9452645838,3
793292,8140224,6
793292,3305197659,4
793292,3305197661,4
793293,8140225,4
793293,8140227,4
793293,8140229,4
793293,1158009571,4
793294,8086170,7
793294,8140230,5
793294,284148067,6
793294,380755080,6
793295,284148066,4
793295,323043465,4
793295,3191883643,4
793295,5320816283,4
793298,705251,3
793298,814175,3
806897,2207169747,5
806897,2207169753,5
806897,7456869362,6
806897,10083482311,5
814166,4393205500,4
814166,9837863209,4
814167,814173,2
814167,10567939966,2
814167,10934474395,2
814173,705243,4
814173,814167,2
814173,814178,3
814174,10280257903,4
814174,10567939966,4
814175,793298,3
814175,10280270438,2
814178,814173,3
814178,3761448851,3
814178,4393205518,3
814306,8534591,4
814306,1637575429,3
814306,1637600158,3
814308,814309,6
814308,1637575413,5
814309,1636974789,4
1055748,1057814826,3
1055748,1064473473,3
1055748,1064473511,3
1055752,1083700130,4
1055752,8752090476,8
1055753,1055758,4
1055753,729813626,4
1055753,1083700130,4
1055758,1055753,4
1055758,1055759,3
1055758,253253069,3
1055759,1055758,3
1055759,253253070,3
1055759,619318098,5
1055761,560705649,3
1055761,1106900408,3
1055762,1055766,4
1055762,319608084,4
1055762,560705649,6
1055766,1055762,4
1055766,1055768,3
1055766,9922602705,3
1055768,1055766,3
1055768,1055770,3
1055768,1055771,4
1055770,1055768,3
1055770,1055848,3
1055770,560705663,3
1055771,1055768,4
1055771,1055848,4
1055771,1055863,4
1055771,2952854189,4
1055778,1055863,2
1055779,1055782,3
1055779,1055862,3
1055779,1055863,3
1055782,1055779,3
1055782,1055783,3
1055782,1055829,3
1055783,1055782,3
1055783,1055784,3
1055783,1055823,3
1055784,1055783,3
1055784,1055785,3
1055784,1055823,3
1055785,1055784,3
1055785,1055786,3
1055785,1055818,3
1055786,1055785,3
1055786,1055787,3
1055786,1055816,3
1055787,1055786,3
1055787,1055788,6
1055787,1055814,3
1055788,1055787,6
1055788,1055789,6
1055788,2203528798,7
1055788,2203528800,8
1055788,5080359205,6
1055789,1055788,6
1055789,1055790,3
1055789,1055793,3
1055790,1055789,3
1055790,1055793,3
1055790,1055814,3
1055793,1055789,3
1055793,1055790,3
1055793,5080359205,3
1055809,560705653,3
1055809,566166347,4
1055809,5080359205,3
1055814,1055787,3
1055814,1055790,3
1055814,1055816,3
1055816,1055786,3
1055816,1055814,3
1055816,1055818,3
1055818,1055785,3
1055818,1055816,3
1055818,1055823,3
1055823,1055783,3
1055823,1055784,3
1055823,1055818,3
1055823,1055829,3
1055829,1055782,3
1055829,1055823,3
1055829,1055862,3
1055839,1055848,3
1055839,1055862,3
1055839,1055863,3
1055848,1055770,3
1055848,1055771,4
1055848,1055839,3
1055862,1055779,3
1055862,1055829,3
1055862,1055839,3
1055863,1055771,4
1055863,1055778,2
1055863,1055779,3
1055863,1055839,3
1055879,1055891,2
1055879,295966966,4
1055879,580890076,6
1055879,1116941149,4
1055882,577282509,4
1055882,1801664595,3
1055882,1801664597,3
1055882,5114682731,3
1055891,1055879,2
1055892,3605584142,3
1055892,9893481693,3
1055897,253253069,3
1055897,729813630,3
1055897,1058767458,3
1055898,671542014,7
1055898,1064473479,5
1441283,4927498885,7
1441283,6570982875,5
1441285,20943864,4
1441285,6570992887,3
1441288,3491860673,4
1441288,6570982810,4
1441289,299506957,8
1441289,6571056683,6
1441301,8086180,7
1441301,298527255,7
1441301,6466937001,6
1441302,1441301,6
1441302,7766759,4
1441304,1579301781,3
1441304,1579301786,3
1441310,7663308,5
1441310,1411089890,5
1441310,7588110232,5
1441311,7663286,4
1441311,1307005049,3
1441312,7663284,3
1441312,1307005045,3
1441314,8087255,4
1441314,2939870899,4
1441314,4245959284,4
1473284,20943836,5
1473284,760755256,5
1473284,5744884404,5
1473284,8114964592,6
1473288,760764427,3
1473288,1421311221,3
1473288,4012218183,3
1473295,10301065,3
1473295,2584912781,3
1473295,3772034585,3
1473296,662891,3
1473296,1473298,4
