u,v,railways_p_count
1059603099,7439532563,1
1059603103,7439532562,1
1059603103,7439532563,1
1059603105,1059565494,1
1059603105,1059603099,1
1059603105,1059603136,1
1059603105,1059603186,1
1059603136,1059603105,1
1059603186,1059603105,1
1059654106,1059654144,2
1059654142,1059654390,2
1059654144,1059654106,2
1059654156,1059654353,2
1059654171,458718207,1
1059654254,1059654317,2
1059654317,1059654254,2
1059654331,1059552065,1
1059654353,1059654156,2
1059654390,1059654142,2
1059654399,1059552065,1
1060100646,1060100649,1
1060100649,1060100646,1
1060375178,1060375331,2
1060375331,1060375178,2
1063570429,4243252161,2
1064256599,6913910377,3
1116941149,1055879,1
1152732078,7904807283,2
1170269392,1189377054,1
1170269392,2700973883,1
1181499850,298795456,1
1181499859,6359420314,1
1189253953,10964856176,2
1189377054,1170269392,1
1190835755,8088038,1
1190835755,7588108458,1
1190873103,2512504197,7
1190873115,298795898,4
1207705259,8217858,1
1217412998,1217413015,2
1217413015,1217412998,2
1217413022,1217413025,2
1217413025,1217413022,2
1222980834,6943466028,1
1222980834,7430325759,1
1223225275,8529636543,2
1225576327,303345555,2
1227107801,9905698232,2
1234226322,1234226386,2
1234226326,308206107,2
1234226368,865168142,2
1234226376,452607638,2
1234226386,6328325387,2
1255213436,1357615533,2
1277430107,12729150,2
1277430240,1277430717,2
1277430439,12729145,1
1277430506,8228716,2
1277430717,1277430240,2
1281443548,11039263874,2
1281453867,26154937,2
1282708379,865168137,2
1282708379,1234226399,2
1286659446,7303890545,1
1296172629,1619530833,2
1302474338,118874,2
1307947289,1944632366,1
1307947290,1944632366,1
1329110162,7726386308,2
1330913881,2302924762,4
1330937536,2683325896,1
1330937536,7187568424,1
1330937538,2428138756,2
1357615533,1255213436,2
1357615533,4243252171,2
1359275428,1359275439,2
1359275439,1359275428,2
1360644293,26154539,2
1364396418,1364396494,2
1364396418,9431343607,2
1364396494,1364396418,2
1374694354,1039454917,1
1387400007,477281972,1
1387400007,1387400010,1
1387400010,1387400007,1
1388596033,4669043012,2
1411009786,298530877,2
1411965498,1412308979,2
1411965525,1411996786,2
1411996786,1411965525,2
1411996786,10815343733,2
1411996789,1412308973,2
1412122343,477438278,2
1412122343,7303890542,1
1412162903,8447078654,2
1412308973,1411996789,2
1412308973,1412308977,2
1412308977,1412308973,2
1412308979,1411965498,2
1412308979,1412308984,2
1412308979,1412308991,2
1412308984,1412308979,2
1412308991,1412308979,2
1416141846,2367865351,2
1416141873,1422735430,1
1416141881,1422735430,1
1416141881,1422735431,1
1419590879,12733802,1
1422735430,1416141873,1
1422735430,1416141881,1
1422735430,1422735432,1
1422735431,1416141881,1
1422735431,1422735432,1
1422735431,1422735433,1
1422735432,1422735430,1
1422735432,1422735431,1
1422735433,1422735431,1
1460168899,1460168900,2
1460168900,1460168899,2
