u,v,buildings_count
1419589855,2051881003,1
1419622835,7187568430,1
1435817322,1435817328,1
1435817328,1435817322,1
1435817328,1435817350,1
1435817328,1435817359,1
1435817334,1435817380,1
1435817350,1435817328,1
1435817359,1435817328,1
1435817376,1235112791,1
1435817376,6063377502,1
1435817380,1435817334,1
1446273091,5779103663,1
1447991730,5914568861,1
1454369336,20922347,1
1457235214,3638789667,1
1458183221,4354374069,3
1458716972,8599783973,1
1468014454,1468018617,1
1468018613,10265554815,1
1468018617,1468014454,1
1471781575,1471781579,1
1471781579,1471781575,1
1474903181,9926894112,1
1482105233,8923361920,1
1488281379,1968350970,1
1488281412,266497639,1
1488281416,1968350972,1
1496314332,4951106144,1
1505684178,1305669021,2
1505684178,2987398131,1
1524390884,10147018112,1
1524390886,10147063417,1
1524390887,1524398143,1
1524390889,1524390891,1
1524390891,1524390889,1
1524390892,1524390893,1
1524390893,1524390892,1
1524390893,5885742677,1
1524398120,1524398142,1
1524398142,1524398120,1
1524398143,1524390887,1
1524424891,1249999724,1
1524446213,1524446215,1
1524446215,1524446213,1
1525958055,1118902642,1
1527964323,1527964345,1
1527964345,1527964323,1
1531551678,7917107521,1
1555811767,1614362088,1
1570026168,10045060032,1
1573491337,282540896,1
1573965763,6352788954,1
1574030600,1615506402,1
1574030610,1615506397,1
1574030625,1574030677,1
1574030631,388241676,1
1574030661,1249999724,1
1574030665,1615506415,1
1574030677,1574030625,1
1574046608,1574046642,1
1574046608,1574046644,1
1574046642,290719275,2
1574046642,1574046608,1
1574046644,750562799,1
1574046644,1574046608,1
1574092449,250621643,1
1574092449,1574092460,1
1574092460,1574092449,1
1574092463,10839839397,1
1574098039,1574098041,1
1574098041,1574098039,1
1574141731,9385574764,1
1577444080,271440188,1
1578090126,9395180877,1
1578141441,528550393,1
1578229625,9846776499,1
1578282344,593869909,1
1578282380,1578282380,2
1578303574,294211787,2
1579375911,3085198349,1
1579375964,4620769368,1
1579405413,1579405457,1
1579405419,1579405497,1
1579405428,18088993,1
1579405431,1579405477,1
1579405457,1579405413,1
1579405477,1579405431,1
1579405495,3127283607,1
1579405497,1579405419,1
1579437285,318309843,1
1579437325,1579437327,1
1579437327,1579437325,1
1579531407,1802532397,1
1580168438,2943813059,1
1584176666,9032680694,1
1585513990,2611016719,1
1585526742,9504743528,1
1597538204,393811357,1
1597538210,477359021,1
1599626044,1287522420,1
1604867559,1679911204,3
1604868720,1604868725,1
1604868720,1604868726,1
1604868720,1679911233,2
1604868725,1604868720,1
1604868726,1604868720,1
1604868726,1900389685,1
1604869169,1679911200,1
1605049398,434950621,1
1605049399,434950621,1
1605054225,434950621,1
1607399522,598197056,1
1608092797,2765619849,1
1608092797,6796507758,1
1608092797,10833678375,1
1608092797,10833678377,1
1608112354,3638789663,1
1614292903,1647585431,1
1614321305,1614321312,1
1614321312,1614321305,1
1614362088,1555811767,1
1615506397,1574030610,1
1615506397,1615506403,1
1615506402,1574030600,1
1615506402,1615506403,1
1615506403,1615506397,1
1615506403,1615506402,1
1615506415,1574030665,1
1616668918,1802532189,1
1617144170,300934912,1
1617144189,300094236,1
1617144189,300094243,2
1617144189,300934919,1
1620270240,1251312670,1
1622854710,9924993841,1
1623822294,1623822296,1
1623822294,1623822302,1
1623822294,10102858336,1
1623822296,1623822294,1
1623822302,1623822294,1
1623906353,530788433,1
1623964487,5754863547,1
1625107338,303345525,1
1625107338,303345529,2
1625107338,750562799,1
1625107351,761504174,1
1626620927,9331980217,1
1628379741,6359420472,1
