u,v,traffic_p_count
6540008,281683160,1
6540008,5434289426,1
6542970,6778985985,1
6542974,6949733643,1
6542975,7774701,2
6542975,298497234,2
6542975,10233248898,1
6542988,4199695621,1
7170216,17556298,1
7170216,274874462,1
7170216,438089984,1
7170216,10114240827,1
7211077,4945395247,2
7217648,4393246328,1
7217651,298629945,2
7217651,3207917505,3
7217651,4927474144,1
7217655,7217659,2
7217655,559943597,3
7217655,1441896599,2
7217655,7726312673,2
7217656,3713903542,2
7217656,3713903560,2
7217657,298548449,2
7217657,559943597,1
7217657,8491203076,2
7224384,7224386,2
7224384,8546318,2
7224384,3496730817,2
7224386,7224384,2
7224386,462244324,2
7224386,4717073290,2
7224388,1310602139,2
7224388,1579437316,2
7224388,4669093113,2
7224388,4717583480,2
7224389,6527617,2
7224389,7224390,2
7224389,7397306,2
7224389,8097301,2
7224390,7224389,2
7224391,298795582,1
7224391,298795676,1
7224394,6854176729,1
7224397,1190873119,1
7224398,697538,1
7224402,2931115240,2
7224402,3262975604,2
7224402,8792002664,2
7224402,10567931018,1
7224422,4712175304,1
7224422,10918472137,1
7235679,8321022,1
7235679,1582952741,2
7235679,1754788597,2
7235688,7235689,1
7235689,7235688,1
7235689,5996601374,1
7235689,7448948454,1
7235696,4878969897,1
7235696,6949628468,2
7235698,25274001,2
7235698,1727658444,2
7235698,10013166377,2
7235708,2687461340,1
7235713,8468145,2
7235713,298530867,2
7235713,8339387867,2
7235723,7235713,2
7235723,7235725,2
7235725,4927460205,1
7235725,8418796239,2
7235751,10537115327,1
7235757,6284075936,1
7235762,298870632,1
7235771,298870617,1
7244204,3378861476,1
7244204,3761438747,1
7244204,6331424643,1
7244205,1217537075,1
7244206,2328511277,1
7244208,7741066,2
7244208,8099296,2
7244208,4237583607,2
7244229,8085671,1
7244229,8538468,3
7244229,9712542353,1
7262118,7262119,1
7262119,288387751,2
7262119,288387930,2
7302074,3741473343,1
7302074,9851999309,1
7302074,9851999314,1
7302078,17034820,2
7302078,248119044,2
7302078,1620315885,2
7302078,2206848494,2
7302080,2206848497,1
7302089,1579405463,2
7302089,4888246713,1
7302089,4888246719,2
7302089,10596098430,1
7302091,8099296,1
7302093,2178030021,1
7302098,7707240,1
7302098,9775022315,1
7313646,8078536,1
7313647,7313649,2
7313647,1189253953,2
7313647,10161917812,1
7313647,10908450603,1
7313648,1798826439,1
7313649,7313647,2
7349381,8085679,2
7397303,445522199,1
7397303,1626975677,1
7397303,4725687897,1
7397303,5298316572,1
7397306,6527605,2
7397306,7224389,2
7459404,6527626,1
7459408,7459412,1
7459412,7459408,1
7459412,456281927,1
7459412,1374682548,1
7459412,5926663912,1
7469747,8085026,1
7476473,7493308,2
7476484,4200080187,1
7476484,4200080303,1
7476489,6937813504,1
7481098,267550712,1
7481117,1585604224,1
7487077,7846717,2
7487077,2226036741,2
7487077,9865771101,2
7487078,3106249630,1
7487078,3279874610,1
7487097,296199152,1
7493308,7476473,2
7493352,296199204,2
7493352,1061696015,2
7493352,1579358172,2
7493352,4553099162,2
7493353,8089128,1
7493355,10675847885,1
7493355,10675847888,1
7493355,10676015871,2
7493384,8436186961,1
7493385,747675735,2
7493385,1629913397,2
7493385,8436186960,2
7625993,2523495892,1
7625999,2523495892,1
7640629,2355133877,1
7640634,8324623,2
7640634,2338083476,1
7640667,697783,1
7640667,8574699,1
7646313,10938906,2
7646313,8658464205,2
7646323,781544,2
7646325,781544,2
7646338,8470708,1
7646341,7646343,2
7646343,375471,4
7646343,7646341,2
7646343,6513086922,2
7646343,7456811606,2
7663271,1190835859,1
7663278,725307,1
7663288,7665010,1
7663290,7588110172,1
7663292,1307005056,1
7663308,1441310,2
7665008,7665010,1
7665010,7663288,1
7665010,8087182,1
7670452,9651647844,1
7670457,3679259118,1
7673053,3678201687,1
7673064,296206881,2
7673068,6488692,1
7673083,2283747730,1
7707240,7302098,1
7707241,7707242,2
7707241,7707254,2
7707241,3578263651,2
7707241,3641701398,2
7707242,7707241,2
7707254,7707241,2
7712478,2283813946,1
7712496,8712582117,1
7712497,7712498,2
7712497,2062358276,2
7712497,8306513908,2
7712498,7712497,2
7712502,17343195,2
7712508,8976545062,2
7712530,2283820150,2
7726641,18023275,2
7726641,1467935775,2
7726641,8575524951,2
7726641,8575524952,2
7726644,4945395247,2
7726647,7726649,2
7726649,7726647,2
7726649,8892842,2
7726649,297975763,2
7726649,297975913,2
7726656,7726657,2
7726656,8086415,2
7726656,288315054,2
7726656,3920514967,2
7726657,7726656,2
7726661,20908337,1
7726662,1598991179,1
7726665,2450971101,2
7726665,3208181899,1
7726668,6333772199,1
7726668,6359420380,1
7726668,8320557955,1
7726668,8792002664,1
7726672,95900121,2
7726672,298957456,2
7726672,2737213869,2
7726672,2931115240,2
7726672,10567931011,1
7726672,11038633542,1
7726675,781573,2
7726675,593753744,2
7726675,2931113183,2
7726675,4950749454,2
7729281,271652082,2
7729281,288806459,2
7729281,8990288645,2
7731357,278389454,1
7731357,3615732278,2
7732032,278384344,1
7732032,7238667892,2
7741041,5773418203,1
7741058,7741059,1
7741059,7741058,1
7741059,276359703,2
7741059,1331211487,1
7741059,4237583607,2
7741065,697817,2
7766760,7766762,2
7766760,8086180,2
7766762,7766760,2
7773013,8304791,2
7773013,12733820,2
7773013,24997021,2
7773013,3468170569,2
7773016,8302236,2
7773019,7773021,2
7773019,21763344,2
7773019,1578305527,2
7773019,2539866943,2
7773021,781552,2
7773021,7773019,2
7773024,781552,2
7773053,1614187169,1
7774701,298497231,2
7774701,6949733641,2
7774705,10233248868,2
7800709,92920490,1
7800709,9806506070,2
7807321,20925445,2
7807323,8310696,2
7807323,8468149,2
7807323,1204573694,2
7807325,24959171,2
7807326,24959171,2
7807328,24959171,2
7846717,7487077,2
7846717,9867029834,1
7846718,9865460416,1
7846718,10233248887,1
7846719,298518061,2
7846719,9865460414,1
7846719,10659852206,1
7848555,20946242,1
7848555,152898416,1
7848555,1242099808,1
7848555,3605945623,1
8032464,2760235822,2
8078322,698680,2
8078322,6952474335,2
8078322,6952474346,2
8078455,8453814,2
8078470,2760235870,1
8078470,2760235871,1
8078470,2760235872,1
8078521,7800709,2
8078531,8302234,2
8078531,8302236,4
8078531,12729145,2
8078531,1364396418,2
8078535,8078536,1
8078536,7313646,1
